"1131712909447446530^'which do you like better  microsoft or apple? -- apple'^2019-05-24^00:05:58^3868"
"1131712911091617795^'which do you like better  microsoft or apple? -- appleeee'^2019-05-24^00:05:58^490"
"1131712919639666696^'rt : black people support your local black business  and stop asking for a discount how can someone ever get ahead in their bu'^2019-05-24^00:06:00^1767"
"1131712935028510720^'rt : the world's most valuable brands : regional indicator symbol letter uregional indicator symbol letter s apple $b regional indicator symbol letter uregional indicator symbol letter s google $b regional indicator symbol letter uregional indicator symbol letter s microsoft $b regional indicator symbol letter uregional indicator symbol letter s amazon $b'^2019-05-24^00:06:04^162"
"1131712944029544453^'let me say it this way your customer service sucks you charged me illegeally for money took my money i want them back your security gaps are your problems  not mine'^2019-05-24^00:06:06^9"
"1131712969505742850^'rt : i am very excited to join as principal java architect on the java tooling and experiences team if you want to talk'^2019-05-24^00:06:12^58"
"1131712972705939456^'which do you like better  microsoft or apple? -- microsoft'^2019-05-24^00:06:13^444"
"1131712975415533568^'rt : ""microsoft has been committed to the principles advanced through be best  protecting children  teens  and individuals onlin'^2019-05-24^00:06:14^11"
"1131712976782843904^'which do you like better  microsoft or apple? -- apple  call me a degenerate i dare you'^2019-05-24^00:06:14^177"
"1131712980071124992^'rt : sony ceo saying the console market is niche isn't technically wrong  but it's funny since the ps literally turned thin'^2019-05-24^00:06:15^215"
"1131712988229046272^'which do you like better  microsoft or apple? -- i like you'^2019-05-24^00:06:17^175"
"1131712992171704321^'which do you like better  microsoft or apple? -- ikaw yieee'^2019-05-24^00:06:18^163"
"1131712997267787777^'which do you like better  microsoft or apple? -- imagine gaming on macos nauseated face'^2019-05-24^00:06:19^59"
"1131712999490818049^'which do you like better  microsoft or apple? -- i cant afford apple so that means'^2019-05-24^00:06:19^779"
"1131713005228630017^'which do you like better  microsoft or apple? -- apple'^2019-05-24^00:06:21^1049"
"1131713008756023296^'which do you like better  microsoft or apple? -- apple'^2019-05-24^00:06:22^1588"
"1131713012023418880^'which do you like better  microsoft or apple? -- apple'^2019-05-24^00:06:22^239"
"1131713026929901568^'rt : a productive meeting today with microsoft's president  bebest will continue the discussion about online safety for ou'^2019-05-24^00:06:26^11"
"1131713034244825088^'which do you like better  microsoft or apple? -- kapag gaming microsoft'^2019-05-24^00:06:28^156"
"1131713042880720896^'microsoft surface buds release date  price spec '^2019-05-24^00:06:30^62"
"1131713044206170113^'rt : hey do you guys just not have any actual humans i can talk to on your phone line?'^2019-05-24^00:06:30^2"
"1131713047959986176^'rt : i was going to buy a xps to do personal dev work  but now i'll just buy a mac  and install linux on it i'll also'^2019-05-24^00:06:31^1"
"1131713048358588416^'rt : ""microsoft could find itself with an embarrassment of riches as minecraft earth players gift it with an increasingly accurate s'^2019-05-24^00:06:31^136"
"1131713056755671040^'which do you like better  microsoft or apple? -- apple cuz im a sheep and i like basic things'^2019-05-24^00:06:33^68"
"1131713059389616128^'which do you like better  microsoft or apple? -- microapple'^2019-05-24^00:06:34^593"
"1131713074367328256^'the amazing at spc ask anything panel'^2019-05-24^00:06:37^2945"
"1131713080185036801^'which do you like better  microsoft or apple? -- her'^2019-05-24^00:06:39^404"
"1131713096068816896^'rt : what a milestone  this week's episode of has seen the most day  downloads in the shows history i'm so proud'^2019-05-24^00:06:42^897"
"1131713100212785152^'which do you like better  microsoft or apple? -- interface: apple system: microsoft'^2019-05-24^00:06:43^2002"
"1131713116251852801^'which do you like better  microsoft or apple? -- ikaw'^2019-05-24^00:06:47^164"
"1131713123566608384^'rt : two more microsoft zero-days uploaded on github'^2019-05-24^00:06:49^2567"
"1131713137974157314^'i made this beast fan art for you i use freehand and microsoft powerpoint please help me by buying all of my crazy stuffs for  bitcoin(-/\-) nrzbepmrbdbaraqufufbnzkpmzkz'^2019-05-24^00:06:52^0"
"1131713147524526087^'office  roadmap | microsoft teams - per-team and cross-team analytics uforoadmap office'^2019-05-24^00:06:55^31"
"1131713148711505925^'she's looking at him like that because she can't fathom how he has all that money and uses a fucking microsoft laptop'^2019-05-24^00:06:55^65"
"1131713149969866753^'office  roadmap | updated design (align w/ mobile coherence)- ios uforoadmap office'^2019-05-24^00:06:55^31"
"1131713157687316486^'office  roadmap | microsoft teams - share system audio in a teams meeting uforoadmap office'^2019-05-24^00:06:57^31"
"1131713158027108356^'office  roadmap | share and collaborate on visio visuals uforoadmap office'^2019-05-24^00:06:57^31"
"1131713158811455489^'office  roadmap | differential sync for all file types in onedrive for business uforoadmap office'^2019-05-24^00:06:57^31"
"1131713158870196224^'office  roadmap | microsoft intune expands bitlocker management capabilities uforoadmap office'^2019-05-24^00:06:57^31"
"1131713159813902336^'office  roadmap | microsoft intune assessments in compliance manager uforoadmap office'^2019-05-24^00:06:58^31"
"1131713165820145664^'office  roadmap | microsoft teams - improved channel file tab experience uforoadmap office'^2019-05-24^00:06:59^31"
"1131713166788968448^'office  roadmap | outlook on the web - new cloud doc sharing experience uforoadmap office'^2019-05-24^00:06:59^31"
"1131713167141289985^'office  roadmap | new files experience in outlook ios uforoadmap office'^2019-05-24^00:06:59^31"
"1131713167183294465^'office  roadmap | teams education - gradebook uforoadmap office'^2019-05-24^00:06:59^31"
"1131713168839979009^'office  roadmap | export visio diagrams to flow uforoadmap office'^2019-05-24^00:07:00^31"
"1131713168764489729^'what's wrong apple microsoft by'^2019-05-24^00:07:00^493"
"1131713168856756225^'office  roadmap | direct links to individual powerpoint slide (web only) uforoadmap office'^2019-05-24^00:07:00^31"
"1131713169263665152^'office  roadmap | deg images previewer support uforoadmap office'^2019-05-24^00:07:00^31"
